"name","uuid:ID","id","text"
"ENCOUNTER_START_RULE_1","d7f7b7d4-bf30-42ef-8e03-9a93e5cb35e5","TransitionRule_1","Subject identifier"
"ENCOUNTER_START_RULE_1","275a8f30-cb67-414a-8392-204aa4117a9a","TransitionRule_2","completion of screening activities"
"ENCOUNTER_START_RULE_2","c55eb9b5-6fa6-4ba0-bc37-2957d96d54a6","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","ebae6c96-84fa-41dd-83a4-57737c97bbff","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","660917ae-ff4a-4e82-a4a9-a627d951de92","TransitionRule_5","Radomized"
"ENCOUNTER_START_RULE_12","4c49c3e1-4718-4576-ac82-b79f8ccaac2f","TransitionRule_6","End of treatment"
"ELEMENT_START_RULE_1","da31867c-0523-4d97-9a61-f8e35e47325d","TransitionRule_7","Informed consent"
"ELEMENT_END_RULE_1","c72a090f-97cb-4b26-8101-1c9636a3dfeb","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","15b4ea2f-67fd-4889-b8b4-a9392a35f546","TransitionRule_9","Administration of first dose"
"ELEMENT_START_RULE_7","5091650f-b899-4afd-bf37-a997decbb63e","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","45bd3707-2d06-47d1-a9df-271347461002","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","aacd0431-b111-4954-b927-315e02e38a56","TransitionRule_10","Administration of first dose"
"ELEMENT_START_RULE_4","4e8598e3-b1b8-462f-833f-81509557aadc","TransitionRule_11","Randomized"
"ELEMENT_START_RULE_5","5f5d9556-291f-4f3f-b775-7dbf82a540cf","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","68d2aabf-97cd-4a76-af53-aab360205f07","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
