"isEnabled","id","uuid:ID"
"True","ResponseCode_16","e22e276f-d646-43f5-888d-ab249b2fa4f3"
"True","ResponseCode_17","6678d456-a52d-4ecf-a012-badb563ecc54"
"True","ResponseCode_18","7ad219e5-5f74-4e31-ab42-0dfd8de8d0c8"
"True","ResponseCode_19","64a7cf0e-a417-4c91-9d85-d643661d4c65"
"True","ResponseCode_20","ffc27ca7-f007-45df-9c14-dc2fdf600f76"
"True","ResponseCode_21","59e8882f-9939-453e-a895-9d0dc1ef7a35"
"True","ResponseCode_22","bd01a577-ad6a-43dd-84a4-b496e382bdf7"
"True","ResponseCode_23","cb65143c-1e4a-4826-acf6-e85c67d5bb76"
"True","ResponseCode_1","cb595498-5c53-4682-8428-3825433589d5"
"True","ResponseCode_2","c6bee301-24d6-44ed-8fd3-1bd6636d9e36"
"True","ResponseCode_3","03c082f0-f66f-45e2-8ca5-cb68c005009e"
"True","ResponseCode_4","910afe76-f6ba-4a34-adf1-49e7056c89e1"
"True","ResponseCode_5","ee794747-dea0-46c3-abc4-187ff4dc7a8d"
"True","ResponseCode_6","f03813bb-ac48-4389-bece-4d88f6acc372"
"True","ResponseCode_7","06991119-760c-4579-8ce6-98a4992b1d66"
"True","ResponseCode_8","ad08b9ea-aade-4ec0-ad3c-7bd0fa391ec4"
"True","ResponseCode_9","e2aa78e3-1f1b-4e68-8fa4-65a0f0f3f0de"
"True","ResponseCode_10","43a9115a-bdc7-49c3-af73-1e3c2920f3d3"
"True","ResponseCode_11","7505f7ee-03e8-4d9d-b903-aef6fd5d978e"
"True","ResponseCode_12","440929a3-90be-43a3-9de1-c6fff01d9658"
"True","ResponseCode_13","2098d2aa-7bd6-4b9b-9631-ad56957f5461"
"True","ResponseCode_14","4c8db016-ad55-4b60-865c-db688d30a2f7"
"True","ResponseCode_15","f8525f0b-bb4c-4542-9814-8f838691b9d9"
